"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"Association of Science Editors and Publishers (ID 10152)","Association of Science Editors and Publishers10.24069","open","13","92","false","true"
"Ataturk Iletisim Dergisi (ID 18357)","Ataturk Iletisim Dergisi10.32952","open","0","4","false","true"
"Atharva Scientific Publications (ID 17912)","Atharva Scientific Publications10.32677","open","0","142","false","true"
"Atlantis Press (ID 1574)","Atlantis Press10.2991","open","55956","37477","true","true"
"Ayna Klinik Psikoloji Dergisi (ID 16834)","Ayna Klinik Psikoloji Dergisi10.31682","open","40","27","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co10.4292","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co10.4291","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co 10.3748","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Chinese Journal of Digestology)10.11569","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Anesthesiology)10.5313","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Cardiology)10.4330","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Chemistry)10.4331","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Cases)10.12998","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Infectious Diseases)10.5495","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Oncology)10.5306","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Pediatrics)10.5409","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Clinical Urology)10.5410","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Critical Care Medicine)10.5492","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Dermatology)10.5314","open","33201","4139","true","true"
"Baishideng Publishing Group Inc. (ID 2060)","Baishideng Publishing Group Co (World Journal of Diabetes)10.4239","open","33201","4139","true","true"
